Новый ID,Исходный ID (id из фида)
309073485,456673
309073650,457477
309074350,461594
309075947,468121
309076791,468158
309080521,468736
309083096,468914
309084722,469137
309085988,469168
309088263,469324
309089293,469469
309089685,469527
309090595,469837
309090653,469866
309090842,469892
309096629,470217
309101184,470470
309101263,470472
309103414,470802
309103531,470803
309105295,470834
309236724,454377
309236763,454666
309236771,454798
309237229,456286
309388510,470906
309388644,470929
309388681,471000
309394020,471047
309394481,471059
309394872,471066
309395097,471079
309395478,471121
309395530,471148
309395560,471154
309395569,471176
309395591,471187
309559497,453187
309559761,453703
309559784,453728
309560064,454470
309560265,454503
309561020,457099
309561045,457111
309561177,457470
309562860,470844
309563606,470931
309563658,470932
309563914,470935
309563999,470936
309565751,470975
309566762,470982
309567057,470983
309568274,471008
309572519,471127
309572687,471134
309574927,471199
310267435,470879
310267512,470880
310267587,470946
310268675,470973
310269314,470994
310269475,470995
310269592,470997
310270619,471058
310280432,471162
310280738,471164
310281039,471165
310282766,471170
310285584,471202
310286060,471203
310287202,471231
310287521,471237
310287762,471239
310288199,471240
310289689,471249
310290416,471253
310290835,471258
310291158,471263
310291570,471269
310292355,471280
310300370,471378
310300514,471379
310301068,471385
310302407,471398
310302720,471401
310302794,471402
310302887,471403
310304181,471417
310308558,471452
310309892,471460
310314157,471541
310459348,365878
310470541,471561
310470946,471568
310596563,470415
310596671,470745
310597248,471204
